field,hrs,mean
age,4,48.44919786
age,5,47.09819639
age,6,47.38327722
age,7,47.23765915
age,8,48.79174112
age,9,52.06942393
age,10,55.14868106
sex,4,0.550802139
sex,5,0.563126253
sex,6,0.565656566
sex,7,0.532052714
sex,8,0.558665873
sex,9,0.612998523
sex,10,0.544364508
height,4,66.4173913
height,5,66.45969499
height,6,66.42321536
height,7,66.81479736
height,8,66.59460034
height,9,66.40793651
height,10,66.45844504
weight,4,181.8664688
weight,5,177.7918051
weight,6,174.4802692
weight,7,172.6325258
weight,8,171.6057105
weight,9,170.307074
weight,10,173.6558266
bmi,4,32.30131015
bmi,5,30.53747483
bmi,6,29.55126536
bmi,7,29.02267806
bmi,8,29.47745277
bmi,9,29.16259964
bmi,10,29.64031166
spoken to doctor about diet,4,0.339572193
spoken to doctor about diet,5,0.337675351
spoken to doctor about diet,6,0.299382716
spoken to doctor about diet,7,0.25865535
spoken to doctor about diet,8,0.259876911
spoken to doctor about diet,9,0.29985229
spoken to doctor about diet,10,0.314148681
ever had a heart attack,4,0.06684492
ever had a heart attack,5,0.049098196
ever had a heart attack,6,0.030864198
ever had a heart attack,7,0.024123297
ever had a heart attack,8,0.034544372
ever had a heart attack,9,0.039881832
ever had a heart attack,10,0.057553957
moderate exercise frequency,4,2.604278075
moderate exercise frequency,5,2.786072144
moderate exercise frequency,6,2.923260382
moderate exercise frequency,7,3.110900156
moderate exercise frequency,8,2.909072861
moderate exercise frequency,9,2.940177253
moderate exercise frequency,10,2.567146283
vigorous exercise frequency,4,1.422459893
vigorous exercise frequency,5,1.69739479
vigorous exercise frequency,6,1.940375982
vigorous exercise frequency,7,2.095711414
vigorous exercise frequency,8,1.881377804
vigorous exercise frequency,9,1.474889217
vigorous exercise frequency,10,1.315347722
ever taken depression medication,4,0.139037433
ever taken depression medication,5,0.117234469
ever taken depression medication,6,0.079405163
ever taken depression medication,7,0.060978334
ever taken depression medication,8,0.076831447
ever taken depression medication,9,0.097488922
ever taken depression medication,10,0.160671463
smoked 100 cigs in life,4,0.505347594
smoked 100 cigs in life,5,0.490981964
smoked 100 cigs in life,6,0.410774411
smoked 100 cigs in life,7,0.360285906
smoked 100 cigs in life,8,0.379193965
smoked 100 cigs in life,9,0.440177253
smoked 100 cigs in life,10,0.448441247
ever had 12+ drinks in one year,4,0.582887701
ever had 12+ drinks in one year,5,0.621242485
ever had 12+ drinks in one year,6,0.660213244
ever had 12+ drinks in one year,7,0.683046683
ever had 12+ drinks in one year,8,0.5967838
ever had 12+ drinks in one year,9,0.59084195
ever had 12+ drinks in one year,10,0.520383693
insurance coverage,4,0.767379679
insurance coverage,5,0.805611222
insurance coverage,6,0.828563412
insurance coverage,7,0.846995756
insurance coverage,8,0.816954536
insurance coverage,9,0.859675037
insurance coverage,10,0.836930456
